n_articles,publisher,intended_application,content_type,open_license
17401,American Geophysical Union (AGU),text-mining,application/pdf,CC
17225,Pensoft Publishers,text-mining,application/xml,CC
17175,Hindawi Limited,text-mining,unspecified,NA
16880,PeerJ,text-mining,application/pdf,CC
16880,PeerJ,text-mining,application/xml,CC
16880,PeerJ,text-mining,text/html,CC
16129,Springer Science and Business Media LLC,text-mining,text/plain,NA
16129,Springer Science and Business Media LLC,text-mining,text/xml,NA
15646,"eLife Sciences Publications, Ltd",text-mining,application/xml,CC
15419,American Geophysical Union (AGU),text-mining,application/xml,CC
15382,"eLife Sciences Publications, Ltd",text-mining,application/pdf,CC
14721,Edinburgh University Press,text-mining,application/xml,NA
14086,Institution of Engineering and Technology (IET),text-mining,application/pdf,CC
14059,Institution of Engineering and Technology (IET),text-mining,application/xml,CC
13139,AOSIS,text-mining,application/pdf,CC
13096,Ovid Technologies (Wolters Kluwer Health),text-mining,application/pdf,NA
12958,International Union of Crystallography (IUCr),text-mining,unspecified,CC
12880,Universitas Airlangga,text-mining,application/pdf,CC
12425,Universitas Gadjah Mada,text-mining,application/pdf,CC
12362,American Astronomical Society,text-mining,application/pdf,CC
12362,American Astronomical Society,text-mining,text/html,CC
12106,Universidade Estadual de Campinas,text-mining,application/pdf,CC
11965,Cambridge University Press (CUP),text-mining,text/xml,NA
11965,Cambridge University Press (CUP),text-mining,text/plain,NA
11943,Medknow,text-mining,text/xml,NA
11943,Medknow,text-mining,text/plain,NA
11916,Nepal Journals Online (JOL),text-mining,application/pdf,CC
11656,Bentham Science Publishers Ltd.,text-mining,application/pdf,CC
11559,Universitas Pahlawan Tuanku Tambusai,text-mining,application/pdf,CC
11530,PAGEPress Publications,text-mining,application/pdf,CC
11478,Darcy & Roy Press Co. Ltd.,text-mining,application/pdf,CC
11225,Universidad Nacional de Colombia,text-mining,application/pdf,CC
11142,Elsevier BV,text-mining,application/pdf,CC
10626,Uniwersytet Lodzki (University of Lodz),text-mining,application/pdf,CC
10560,AOSIS,text-mining,text/html,CC
10391,American Dairy Science Association,text-mining,text/plain,NA
10391,American Dairy Science Association,text-mining,text/xml,NA
10332,"Universidad Nacional Mayor de San Marcos, Vicerectorado de Investigacion",text-mining,application/pdf,CC
10090,Elsevier BV,text-mining,text/html,NA
10003,Oxford University Press (OUP),text-mining,text/xml,NA
10003,Oxford University Press (OUP),text-mining,text/plain,NA
9568,AOSIS,text-mining,application/epub+zip,CC
9456,Universidad Tecnica de Manabi,text-mining,application/pdf,CC
9189,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),text-mining,application/pdf,CC
9042,Bentham Science Publishers Ltd.,text-mining,application/xml,CC
8949,National Documentation Centre (EKT),text-mining,application/pdf,CC
8875,S. Karger AG,text-mining,unspecified,NA
8359,Brill,text-mining,text/html,CC
8321,AOSIS,text-mining,text/xml,CC
8093,Frontier Scientific Publishing Pte Ltd,text-mining,application/pdf,CC
8021,Ovid Technologies (Wolters Kluwer Health),text-mining,text/xml,CC
8021,Ovid Technologies (Wolters Kluwer Health),text-mining,text/plain,CC
7935,Editorial CSIC,text-mining,application/pdf,CC
7783,Informa UK Limited,text-mining,application/pdf,NA
7631,Adam Mickiewicz University Poznan,text-mining,application/pdf,CC
7620,Elsevier BV,text-mining,application/xml,NA
7601,Universitas Mataram,text-mining,application/pdf,CC
7555,Springer Science and Business Media LLC,text-mining,text/xml,CC
7555,Springer Science and Business Media LLC,text-mining,text/plain,CC
7531,Informa UK Limited,text-mining,unspecified,CC
7442,Bangladesh Journals Online (JOL),text-mining,application/pdf,CC
7288,South Florida Publishing LLC,text-mining,application/pdf,CC
7067,Oxford University Press (OUP),text-mining,application/pdf,CC
6906,Innovare Academic Sciences Pvt Ltd,text-mining,application/pdf,CC
6832,Springer Fachmedien Wiesbaden GmbH,text-mining,text/html,NA
6832,Springer Fachmedien Wiesbaden GmbH,text-mining,application/pdf,NA
6697,Medknow,text-mining,text/plain,CC
6697,Medknow,text-mining,text/xml,CC
6658,Wurttembergische Landesbibliothek,text-mining,application/pdf,CC
6553,Conselho Nacional de Pesquisa e Pos-Graduacao em Direito - CONPEDI,text-mining,application/pdf,CC
6524,Publishing House Zaslavsky,text-mining,application/pdf,CC
6491,British Editorial Society of Bone & Joint Surgery,text-mining,application/pdf,NA
6466,British Editorial Society of Bone & Joint Surgery,text-mining,application/xml,NA
6424,Universidade Estadual de Londrina,text-mining,application/pdf,CC
6357,"University Library System, University of Pittsburgh",text-mining,application/pdf,CC
6334,Gramota Publishing,text-mining,application/pdf,CC
6327,Universitas Tarumanagara,text-mining,application/pdf,CC
6220,Universidad Nacional Autonoma de Mexico,text-mining,text/xml,CC
6190,Academy of Science of South Africa,text-mining,application/pdf,CC
6182,EDUFU - Editora da Universidade Federal de Uberlandia,text-mining,application/pdf,CC
6147,Universitas Pendidikan Ganesha,text-mining,application/pdf,CC
6064,Polish Botanical Society,text-mining,application/pdf,CC
5990,Briefland,text-mining,application/pdf,CC
5939,Universidad Nacional Autonoma de Mexico,text-mining,text/xml,NA
5939,Universidad Nacional Autonoma de Mexico,text-mining,text/plain,NA
5935,Universidad Nacional Autonoma de Mexico,text-mining,text/plain,CC
5896,Scientific Foundation SPIROSKI,text-mining,application/pdf,CC
5742,Ovid Technologies (Wolters Kluwer Health),text-mining,application/xml,NA
5649,Elsevier BV,text-mining,application/xml,CC
5581,Universidad Nacional de La Plata,text-mining,application/pdf,CC
5504,Peoples' Friendship University of Russia,text-mining,application/pdf,CC
5496,Universitas Andalas,text-mining,application/pdf,CC
5457,Universitas Negeri Yogyakarta,text-mining,application/pdf,CC
5439,European Open Science Publishing,text-mining,application/pdf,CC
5436,"Center for Journal Management and Publication, Lambung Mangkurat University",text-mining,application/pdf,CC
5395,Vilnius University Press,text-mining,application/pdf,CC
5325,Boya Century Publishing,text-mining,application/pdf,CC
5269,S. Karger AG,text-mining,unspecified,CC
5202,UNED - Universidad Nacional de Educacion a Distancia,text-mining,application/pdf,CC
5153,Universitas Muhammadiyah Malang,text-mining,application/pdf,CC
5099,XMLink,text-mining,unspecified,CC
5073,Elsevier BV,text-mining,unspecified,NA
5060,Beilstein Institut,text-mining,application/pdf,CC
5060,Beilstein Institut,text-mining,text/html,CC
5008,Universidad de Costa Rica,text-mining,application/pdf,CC
4986,Universidad Nacional Autonoma de Mexico,text-mining,application/pdf,CC
4910,Ovid Technologies (Wolters Kluwer Health),text-mining,unspecified,NA
4908,Walter de Gruyter GmbH,text-mining,text/html,NA
4904,IP Innovative Publication Pvt Ltd,text-mining,text/xml,CC
4808,"Ubiquity Press, Ltd.",text-mining,text/plain,NA
4808,"Ubiquity Press, Ltd.",text-mining,text/xml,NA
4801,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,text-mining,application/pdf,CC
4770,Cellule MathDoc/CEDRAM,text-mining,text/plain,NA
4770,Cellule MathDoc/CEDRAM,text-mining,text/xml,NA
4697,XMLink,text-mining,application/pdf,CC
4697,Universitas Negeri Padang,text-mining,application/pdf,CC
4688,Universidade Federal de Santa Catarina (UFSC),text-mining,application/pdf,CC
4673,Universidade Federal do Rio Grande do Sul,text-mining,application/pdf,CC
4649,Universitas Sebelas Maret,text-mining,application/pdf,CC
4625,Akademiai Kiado Zrt.,text-mining,text/html,CC
4603,Tikrit University,text-mining,application/pdf,CC
4575,Synergy Publishing Pte. Ltd.,text-mining,application/pdf,CC
4567,Informa UK Limited,text-mining,text/plain,NA
4567,Informa UK Limited,text-mining,text/xml,NA
4489,SAGE Publications,text-mining,unspecified,NA
4478,Federal State-Financed Educational Institution of Higher Education Moscow State University of Psychology and Education,text-mining,application/pdf,CC
4456,University of Kufa,text-mining,application/pdf,CC
4446,University of Alberta Libraries,text-mining,application/pdf,CC
4440,Latin America Journals Online,text-mining,application/pdf,CC
4405,Informa UK Limited,text-mining,unspecified,NA
4397,Korean Physical Society,text-mining,text/html,NA
4397,Korean Physical Society,text-mining,application/pdf,NA
4382,Akademizdatcenter Nauka,text-mining,unspecified,NA
4365,Universitas Pendidikan Indonesia (UPI),text-mining,application/pdf,CC
4301,State University of Malang (UM),text-mining,application/pdf,CC
4299,Walter de Gruyter GmbH,text-mining,application/pdf,NA
4284,Universidade Federal do Rio Grande do Norte - UFRN,text-mining,application/pdf,CC
4283,Universidad de Alicante Servicio de Publicaciones,text-mining,unspecified,CC
4179,AMPCo,text-mining,application/pdf,NA
4152,"Scholink Co, Ltd.",text-mining,application/pdf,CC
4142,Georg Thieme Verlag KG,text-mining,text/xml,NA
4142,Georg Thieme Verlag KG,text-mining,text/plain,NA
4125,PT Formosa Cendekia Global,text-mining,application/pdf,CC
4120,Asociacion Latinoamericana para el Avance de la Ciencia,text-mining,application/pdf,CC
4104,John Libbey Eurotext,text-mining,text/xml,NA
4104,John Libbey Eurotext,text-mining,text/plain,NA
4005,Universitat Politecnica de Valencia,text-mining,application/pdf,CC
3996,University of Ljubljana,text-mining,application/pdf,CC
3995,AMPCo,text-mining,application/xml,NA
3986,Universidad Nacional de Cordoba,text-mining,application/pdf,CC
3982,Universitas Muhammadiyah Mataram,text-mining,application/pdf,CC
3979,Asociacion Latinoamericana para el Avance de la Ciencia,text-mining,text/html,CC
3961,Universitat Autonoma de Barcelona,text-mining,application/pdf,CC
3919,Universitas Batanghari Jambi,text-mining,application/pdf,CC
3910,Universidad Federal de Santa Maria,text-mining,application/pdf,CC
3900,Viser Technology Pte Ltd,text-mining,application/pdf,CC
3856,Oxford University Press (OUP),text-mining,application/xml,CC
3835,Pluto Journals,text-mining,application/pdf,CC
3821,Georg Thieme Verlag KG,text-mining,text/xml,CC
3821,Georg Thieme Verlag KG,text-mining,text/plain,CC
3805,Federal State-Financed Educational Institution of Higher Education Moscow State University of Psychology and Education,text-mining,text/html,CC
3798,Universitas Padjadjaran,text-mining,application/pdf,CC
3743,EMBO,text-mining,application/pdf,CC
3741,EMBO,text-mining,application/xml,CC
3729,Universidade Estadual de Maringa,text-mining,application/pdf,CC
3721,LLC CPC Business Perspectives,text-mining,application/pdf,CC
3707,Malaga University,text-mining,application/pdf,CC
3690,Editorial CSIC,text-mining,text/html,CC
3635,Universidade Tecnologica Federal do Parana (UTFPR),text-mining,application/pdf,CC
3575,Ovid Technologies (Wolters Kluwer Health),text-mining,text/html,NA
3574,Universidad Peruana Cayetano Heredia,text-mining,application/pdf,CC
3562,LPPM Unsyiah,text-mining,application/pdf,CC
3554,Informa UK Limited,text-mining,text/xml,CC
3554,Informa UK Limited,text-mining,text/plain,CC
3552,Virtus Interpress,text-mining,application/pdf,CC
3548,University of Florida George A Smathers Libraries,text-mining,application/pdf,NA
3516,Universitas Islam Negeri Ar-Raniry,text-mining,application/pdf,CC
3511,Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,text-mining,application/pdf,CC
3511,Lavoisier,text-mining,application/pdf,NA
3511,Lavoisier,text-mining,text/html,NA
3497,Pontificia Universidade Catolica do Parana - PUCPR,text-mining,application/pdf,CC
3494,Pontifical Catholic University of Sao Paulo (PUC-SP),text-mining,application/pdf,CC
3487,Korean Ophthalmological Society,text-mining,unspecified,CC
3476,American Meteorological Society,text-mining,text/html,NA
3475,University of Debrecen/ Debreceni Egyetem,text-mining,application/pdf,CC
3435,EMBO,text-mining,application/pdf,NA
3428,Editorial Pontificia Universidad Javeriana,text-mining,application/pdf,CC
3418,EMBO,text-mining,application/xml,NA
3412,Universitas Negeri Makassar,text-mining,application/pdf,CC
3400,GP Innovations Pvt. Ltd.,text-mining,application/pdf,CC
3399,Innovare Academic Sciences Pvt Ltd,text-mining,text/html,CC
3373,Korean Academy of Medical Sciences,text-mining,application/pdf,CC
3373,Korean Academy of Medical Sciences,text-mining,unspecified,CC
3364,Zhejiang University Press,text-mining,application/pdf,NA
3360,Zhejiang University Press,text-mining,text/html,NA
3326,Universitas Negeri Surabaya,text-mining,application/pdf,CC
3321,Society of Pharmaceutical Tecnocrats,text-mining,application/pdf,CC
3310,UNIB Press,text-mining,application/pdf,CC
3287,Coimbra University Press,text-mining,application/pdf,CC
3287,University of Florida George A Smathers Libraries,text-mining,unspecified,NA
3283,State University of Medan,text-mining,application/pdf,CC
3273,Cogitatio,text-mining,application/pdf,CC
3267,Universidade Federal da Bahia,text-mining,application/pdf,CC
3254,Elsevier BV,text-mining,text/html,CC
3241,Universitas Negeri Semarang,text-mining,application/pdf,CC
3235,Uniwersytetu Marii Curie-Sklodowskiej w Lublinie,text-mining,application/pdf,CC
3222,Universidade Federal de Pernambuco,text-mining,application/pdf,CC
3203,Companhia Brasileira de Producao Cientifica,text-mining,application/pdf,CC
3191,Association for the Advancement of Artificial Intelligence (AAAI),text-mining,application/pdf,NA
3181,Lembaga Publikasi Ilmiah dan Penerbitan Universitas Muhammadiyah Purwokerto,text-mining,application/pdf,CC
3175,Universidad de Antioquia,text-mining,application/pdf,CC
3161,University Nove de Julho,text-mining,application/pdf,CC
3134,Universitas Mulawarman,text-mining,application/pdf,CC
3125,"Remedium, Ltd.",text-mining,application/pdf,NA
3113,Walter de Gruyter GmbH,text-mining,application/pdf,CC
3111,Korean Association of Internal Medicine,text-mining,unspecified,CC
3105,Universidade Federal do Parana,text-mining,application/pdf,CC
3089,Universitas Muhammadiyah Surakarta,text-mining,application/pdf,CC
3073,Universitas Pattimura,text-mining,application/pdf,CC
3059,Al-Jamiah Research Centre,text-mining,application/pdf,CC
3040,Universitas Muhammadiyah Sidoarjo,text-mining,text/xml,CC
3037,Servicio de Publicaciones de la Universidad Autonoma de Madrid,text-mining,application/pdf,CC
3029,EDIPUCRS,text-mining,application/pdf,CC
3027,Universidad Nacional de La Plata,text-mining,text/html,CC
2985,CIRWOLRD,text-mining,application/pdf,CC
2980,Lepidus Tecnologia,text-mining,application/pdf,CC
2977,Universidade do Estado de Santa Catarina,text-mining,application/pdf,CC
2961,RECIMA21 - Revista Cientifica Multidisciplinar,text-mining,application/pdf,CC
2935,University of Trunojoyo Madura,text-mining,application/pdf,CC
2907,MGIMO University,text-mining,application/pdf,NA
2895,Sunan Gunung Djati State Islamic University of Bandung,text-mining,application/pdf,CC
2855,Wiley,text-mining,text/xml,CC
2855,Fundacion Koinonia,text-mining,application/pdf,CC
2855,Wiley,text-mining,text/plain,CC
2842,Universidad Nacional de Rosario,text-mining,application/pdf,CC
2840,"Macrothink Institute, Inc.",text-mining,application/pdf,CC
2834,Kutafin Moscow State Law University,text-mining,application/pdf,NA
2824,Fundacion Koinonia,text-mining,text/html,CC
2807,inScience LLC,text-mining,application/pdf,CC
2801,LPPM Universitas Malikussaleh,text-mining,application/pdf,CC
2795,Universidade Federal do Tocantins,text-mining,application/pdf,CC
2792,UIN Walisongo Semarang,text-mining,application/pdf,CC
2792,Springer Science and Business Media LLC,text-mining,application/xml,NA
2779,The Korean Society of Radiology,text-mining,unspecified,CC
2774,Towarzystwo Naukowe KUL,text-mining,application/pdf,CC
2770,Emir Abdelkader University for Islamic Sciences constantin,text-mining,unspecified,CC
2762,"Indian Council of Agricultural Research, Directorate of Knowledge Management in Agriculture",text-mining,application/pdf,CC
2748,Cambridge University Press (CUP),text-mining,application/pdf,NA
2743,Universidad de Valladolid,text-mining,application/pdf,CC
2742,Universitas Indraprasta PGRI,text-mining,application/pdf,CC
2736,The Electrochemical Society,text-mining,application/pdf,CC
2736,The Electrochemical Society,text-mining,text/html,CC
2727,Universidad Pedagogica Nacional,text-mining,application/pdf,CC
2727,Universidade Estadual do Sudoeste da Bahia/Edicoes UESB,text-mining,application/pdf,CC
2725,"Faculty of Education and Teacher Training, Jambi University",text-mining,application/pdf,CC
2724,Universitas Trisakti,text-mining,application/pdf,CC
2713,Universitas Muhammadiyah Sidoarjo,text-mining,application/pdf,CC
2703,Private Company Technology Center,text-mining,application/pdf,CC
2697,Bioscientifica,text-mining,text/html,CC
2687,Universidad Externado de Colombia,text-mining,application/pdf,CC
2654,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau,text-mining,application/pdf,CC
2646,Universitas Pamulang,text-mining,application/pdf,CC
2640,Uzhhorod National University,text-mining,application/pdf,CC
2626,Universitas PGRI Semarang,text-mining,application/pdf,CC
2622,Bentham Science Publishers Ltd.,text-mining,text/html,CC
2615,American Dairy Science Association,text-mining,text/xml,CC
2615,American Dairy Science Association,text-mining,text/plain,CC
2591,Universidade Federal do Maranhao,text-mining,application/pdf,CC
2579,Biblioteca Central da UNB,text-mining,application/pdf,CC
2578,Universidade Federal de Sao Paulo,text-mining,application/pdf,CC
2572,International Journal for Innovation Education and Research,text-mining,application/pdf,CC
2559,Publishing House ABV Press,text-mining,application/pdf,NA
2556,University of Leon,text-mining,application/pdf,CC
2553,PLUS COMMUNICATION CONSULTING SRL,text-mining,application/pdf,CC
2547,LPPM IKIP Mataram,text-mining,application/pdf,CC
2536,Universitas Muhammadiyah Palangkaraya,text-mining,application/pdf,CC
2526,IOP Publishing,unspecified,application/pdf,NA
2523,Firenze University Press,text-mining,application/pdf,CC
2500,"Silicea - Poligraf, LLC",text-mining,application/pdf,NA
2496,MDPI AG,text-mining,application/pdf,CC
2493,Oles Honchar Dnipropetrovsk National University,text-mining,application/pdf,CC
2490,Universe Scientific Publishing Pte. Ltd.,text-mining,application/pdf,CC
2483,Green Publisher,text-mining,application/pdf,CC
2481,Institute of Electrical and Electronics Engineers (IEEE),text-mining,application/pdf,NA
2470,Stichting SciPost,text-mining,application/pdf,CC
2470,Oxford University Press (OUP),text-mining,text/html,NA
2468,Masaryk University Press,text-mining,application/pdf,CC
2454,Universidade Estadual do Oeste do Parana - UNIOESTE,text-mining,application/pdf,CC
2452,Maulana Malik Ibrahim State Islamic University,text-mining,application/pdf,CC
2451,Valley International,text-mining,application/pdf,CC
2448,Publikasi Indonesia,text-mining,application/pdf,CC
2443,Universitas Negeri Gorontalo,text-mining,application/pdf,CC
2433,Katolicki Uniwersytet Lubelski Jana Pawla II,text-mining,application/pdf,CC
2423,University of Bern,text-mining,application/pdf,CC
2420,American Geophysical Union (AGU),text-mining,unspecified,CC
2419,University of Silesia in Katowice,text-mining,application/pdf,CC
2416,Scholar Publishing,text-mining,unspecified,CC
2404,Ridwan Institute,text-mining,application/pdf,CC
2396,Det Kgl. Bibliotek/Royal Danish Library,text-mining,application/pdf,CC
2392,Universidad del Valle,text-mining,application/pdf,CC
2387,UiT The Arctic University of Norway,text-mining,application/pdf,CC
2384,Universitas Sam Ratulangi,text-mining,application/pdf,CC
2382,Ternopil State Medical University,text-mining,application/pdf,CC
2382,Al-Kindi Center for Research and Development,text-mining,application/pdf,CC
2377,Indonesian Agency For Agricultural Research and Development (IAARD),text-mining,application/pdf,CC
2367,The University of Kansas,text-mining,application/pdf,CC
2363,Elsevier BV,text-mining,unspecified,CC
2344,Ovid Technologies (Wolters Kluwer Health),text-mining,application/pdf,CC
2341,Australian International Academic Centre,text-mining,application/pdf,CC
2338,Universitas Medan Area,text-mining,application/pdf,CC
2328,CEF. Centro de Estudios Financieros,text-mining,application/pdf,NA
2328,Faculdade de Filosofia e Ciências,text-mining,application/pdf,CC
2325,The Open Journal,text-mining,application/pdf,CC
2302,IOP Publishing,unspecified,application/pdf,CC
2294,Universitat de Valencia,text-mining,application/pdf,CC
2294,American Educational Research Association (AERA),text-mining,application/pdf,NA
2292,American Educational Research Association (AERA),text-mining,application/xml,NA
2285,Viet Nam National University Ho Chi Minh City,text-mining,application/pdf,CC
2280,Green Publisher,text-mining,text/html,CC
2277,European Scientific Platform (Publications),text-mining,application/pdf,CC
2273,Vilnius University Press,text-mining,text/html,CC
2260,Korean Association of Internal Medicine,text-mining,application/pdf,CC
2246,Universitas Muslim Indonesia,text-mining,application/pdf,CC
2241,Universidade Federal de Minas Gerais - Pro-Reitoria de Pesquisa,text-mining,application/pdf,CC
2238,Universitas Galuh Ciamis,text-mining,application/pdf,CC
2235,"Pro Reitoria de Pesquisa, Pos Graduacao e Inovacao - UFF",text-mining,application/pdf,CC
2234,AOSIS,text-mining,application/xml,CC
2228,Universidad Nacional de La Plata,text-mining,application/epub+zip,CC
2224,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,text-mining,application/pdf,CC
2206,LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,text-mining,application/pdf,CC
2198,Servicio de Publicaciones de la Universidad de Murcia,text-mining,application/pdf,CC
2194,State Islamic University (UIN) of Sunan Ampel,text-mining,application/pdf,CC
2187,Publishing House Belorusskaya Nauka,text-mining,application/pdf,NA
2169,Yonsei University College of Medicine,text-mining,unspecified,CC
2164,Shanlax International Journals,text-mining,application/pdf,CC
2159,Institut Pertanian Bogor,text-mining,application/pdf,CC
2152,Consilium Medicum,text-mining,application/pdf,CC
2149,Universidad de Costa Rica,text-mining,text/html,CC
2137,Universitas Sumatera Utara,text-mining,application/pdf,CC
2122,Oxford University Press (OUP),text-mining,text/html,CC
2118,Korean Ophthalmological Society,text-mining,application/pdf,CC
2115,Universitas Islam Negeri Alauddin Makassar,text-mining,application/pdf,CC
2110,Al-Mustansiriya University - College of Basic Education,text-mining,application/pdf,CC
2109,State University of Management,text-mining,application/pdf,NA
2109,Universitas Udayana,text-mining,application/pdf,CC
2108,Universitas Negeri Padang (UNP),text-mining,application/pdf,CC
2107,Academy of Science of South Africa,text-mining,application/epub+zip,CC
2087,Wiley,text-mining,text/html,NA
2086,Universitas Ahmad Dahlan,text-mining,application/pdf,CC
2083,Universidad de Zaragoza,text-mining,application/pdf,CC
2080,Stepan Gzhytskyi National University of Veterinary Medicine and  Biotechnologies Lviv,text-mining,application/pdf,CC
2072,FSBEI HE I.P. Pavlov SPbSMU MOH Russia,text-mining,application/pdf,NA
2065,VM Media SP. zo.o VM Group SK,text-mining,text/plain,NA
2065,VM Media SP. zo.o VM Group SK,text-mining,text/xml,NA
2060,SAGE Publications,text-mining,text/xml,NA
2060,SAGE Publications,text-mining,text/plain,NA
2059,Budapest International Research and Critics Institute,text-mining,application/pdf,CC
2055,Kuprienko SV,text-mining,unspecified,CC
2047,Universitat Rovira I Virgili,text-mining,application/pdf,CC
2045,Open Access Publishing Group,text-mining,application/pdf,CC
2045,University of Toronto Libraries - UOTL,text-mining,application/pdf,CC
2043,Lembaga Penelitian dan Pendidikan (LPP) Mandala,text-mining,application/pdf,CC
2042,Universitas Bina Sarana Informatika,text-mining,application/pdf,CC
2035,Sistema de Bibliotecas PUCP,text-mining,application/pdf,CC
2026,Czech Technical University in Prague - Central Library,text-mining,application/pdf,CC
2022,"Instituto Federal de Educacao, Ciencia e Tecnologia do Rio Grande do Norte (IFRN)",text-mining,application/pdf,CC
2021,Universitas Negeri Jakarta,text-mining,application/pdf,CC
2018,Raden Intan State Islamic University of Lampung,text-mining,application/pdf,CC
2011,Wydawnictwo Naukowe Gabriel Borowski (WNGB),text-mining,application/pdf,CC
2006,Ksiegarnia Akademicka Sp. z.o.o.,text-mining,application/pdf,CC
1988,Ridwan Institute,text-mining,text/html,CC
1984,International Association of Online Engineering (IAOE),text-mining,application/pdf,CC
1972,"Publicidad Permanyer, SLU",text-mining,text/xml,NA
1972,"Publicidad Permanyer, SLU",text-mining,text/plain,NA
1965,The Korean Society of Radiology,text-mining,application/pdf,CC
1965,Revista Mexicana de Ciencias Agricolas,text-mining,application/pdf,CC
1964,Wildlife Information Liaison Development Society,text-mining,application/pdf,CC
1961,"Auricle Technologies, Pvt., Ltd.",text-mining,application/pdf,CC
1961,Board of Governors of the Federal Reserve System,text-mining,application/pdf,NA
